composition,formula_pretty
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
O2,O2
Cu1,Cu
Cu1,Cu
Cu1,Cu
Cu1,Cu
Cu1,Cu
Cu1,Cu
Cu1,Cu
Cu1,Cu
Ti1,Ti
Ti1,Ti
Ti1,Ti
Ti1,Ti
Ti1,Ti
Ti1,Ti
Ti1,Ti
Ti1,Ti
Ti1,Ti
Ti1,Ti
Ti2 Cu1,Ti2Cu
Ti2 Cu1,Ti2Cu
Ti2 Cu3,Ti2Cu3
Ti2 Cu3,Ti2Cu3
Ti3 Cu1,Ti3Cu
Ti3 Cu4,Ti3Cu4
Ti5 Cu2,Ti5Cu2
Ti1 Cu1,TiCu
Ti1 Cu1,TiCu
Ti1 Cu2,TiCu2
Ti1 Cu3,TiCu3
Ti1 Cu4,TiCu4
Ti3 Cu3 O1,Ti3Cu3O
Ti3 Cu1 O8,Ti3CuO8
Ti4 Cu3 O12,Ti4(CuO4)3
Ti4 Cu2 O1,Ti4Cu2O
Ti4 Cu2 O1,Ti4Cu2O
Ti1 Cu2 O3,TiCu2O3
Ti1 Cu3 O4,TiCu3O4
Ti1 Cu3 O4,TiCu3O4
Ti1 Cu3 O4,TiCu3O4
Ti1 Cu3 O4,TiCu3O4
Ti1 Cu3 O4,TiCu3O4
Ti1 Cu1 O3,TiCuO3
Ti1 Cu1 O3,TiCuO3
Cu2 O1,Cu2O
Cu2 O3,Cu2O3
Cu2 O3,Cu2O3
Cu2 O3,Cu2O3
Cu2 O3,Cu2O3
Cu2 O3,Cu2O3
Cu3 O2,Cu3O2
Cu3 O4,Cu3O4
Cu3 O4,Cu3O4
Cu4 O3,Cu4O3
Cu4 O3,Cu4O3
Cu5 O7,Cu5O7
Cu64 O1,Cu64O
Cu6 O1,Cu6O
Cu8 O1,Cu8O
Cu8 O1,Cu8O
Cu8 O7,Cu8O7
Cu8 O7,Cu8O7
Cu8 O7,Cu8O7
Cu9 O13,Cu9O13
Cu1 O1,CuO
Cu1 O1,CuO
Cu1 O1,CuO
Cu1 O1,CuO
Cu1 O1,CuO
Cu1 O1,CuO
Cu1 O1,CuO
Cu1 O1,CuO
Cu1 O1,CuO
Cu1 O2,CuO2
Cu1 O2,CuO2
Cu1 O2,CuO2
Cu1 O2,CuO2
Cu1 O2,CuO2
Cu1 O2,CuO2
Cu1 O2,CuO2
Cu1 O2,CuO2
Cu1 O2,CuO2
Ti10 O11,Ti10O11
Ti10 O13,Ti10O13
Ti11 O14,Ti11O14
Ti11 O14,Ti11O14
Ti11 O14,Ti11O14
Ti11 O18,Ti11O18
Ti13 O22,Ti13O22
Ti19 O30,Ti19O30
Ti2 O1,Ti2O
Ti2 O1,Ti2O
Ti2 O1,Ti2O
Ti2 O1,Ti2O
Ti2 O1,Ti2O
Ti2 O1,Ti2O
Ti2 O1,Ti2O
Ti2 O3,Ti2O3
Ti2 O3,Ti2O3
Ti2 O3,Ti2O3
Ti2 O3,Ti2O3
Ti2 O3,Ti2O3
Ti2 O3,Ti2O3
Ti2 O3,Ti2O3
Ti2 O7,Ti2O7
Ti3 O1,Ti3O
Ti3 O1,Ti3O
Ti3 O1,Ti3O
Ti3 O1,Ti3O
Ti3 O1,Ti3O
Ti3 O1,Ti3O
Ti3 O2,Ti3O2
Ti3 O4,Ti3O4
Ti3 O4,Ti3O4
Ti3 O5,Ti3O5
Ti3 O5,Ti3O5
Ti3 O5,Ti3O5
Ti3 O5,Ti3O5
Ti3 O5,Ti3O5
Ti3 O5,Ti3O5
Ti3 O5,Ti3O5
Ti3 O5,Ti3O5
Ti3 O5,Ti3O5
Ti3 O7,Ti3O7
Ti3 O7,Ti3O7
Ti3 O7,Ti3O7
Ti3 O8,Ti3O8
Ti4 O3,Ti4O3
Ti4 O5,Ti4O5
Ti4 O7,Ti4O7
Ti4 O7,Ti4O7
Ti5 O7,Ti5O7
Ti5 O8,Ti5O8
Ti5 O9,Ti5O9
Ti6 O1,Ti6O
Ti6 O1,Ti6O
Ti6 O11,Ti6O11
Ti6 O11,Ti6O11
Ti7 O13,Ti7O13
Ti7 O8,Ti7O8
Ti8 O13,Ti8O13
Ti8 O15,Ti8O15
Ti9 O10,Ti9O10
Ti9 O10,Ti9O10
Ti9 O13,Ti9O13
Ti9 O17,Ti9O17
Ti9 O8,Ti9O8
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O1,TiO
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
Ti1 O2,TiO2
